"id","profileName","text","date","title","rating","images","helpful"
"R1HMDA54JXIACM","Sandeep Ravula","
  I came to know about this book when I was reading The Secret by Rhonda Byrne.I was extremely delighted by reading this magnificient work.It made me realign the way I look at situations and treating people,life.Truly a great work to be read in a lifetime.
","Reviewed in India on 6 January 2019","Perfect work to be read",5,"","1"
"R1CSZ8T4NBL8S7","ankush. G","
  The book is nice but the printing quality is pathetic words are blur in some pages, buy it for 100rs from street rather than here....!
","Reviewed in India on 29 May 2019","Pathetic printing quality",4,"","1"
"R1CKLI0Y4LRKZ1","Abhinav","
  There has been a barrage of books about Spirituality and Self-help in recent years and books have been written from East to the West. But luckily the theme mostly remains the same. Which is to stay that at least there is some sort of consensus amongst writers and seekers as to what is essential and what is not. Although the path to achieve that could be different for different cultures, sects, and religions.The Power Of Now deals with one and only one thing that is, how living in now can alleviate most of our problems. This is not the first book that I have read on this topic. A lot about living in now has been written in Zen articles and other books. But the biggest question that you might end up asking after reading any such book is, how practical is it?Tolle writes in the preface that when this book came out it wasn’t appreciated or understood by many and Time magazine could only see it as “Mumbo-jumbo” written about spirituality. And I can very well understand why people who read it back then would have had such a reaction.Today after there has been so much open discussion about these topics and so much literature floating around in the world, some of the words and phrases used by Tolle still seem Mumbo-Jumbo to me.I have no doubt that the author has had great experience and learnings based on which he has written this book. But I don’t like the book much.First, the Q&A format is not conducive to reading. It would have been better if the terms and basic facts would have explained adequately first and in the end, could have dedicated a section for Q&A.Second, its a dry read without examples, parables or stories which makes it difficult to grasp the concepts that the book mentions.Third, the book deals a lot in the abstract. It’s like “you delve deep inside yourself and focus on now, and you have achieved peace.” It’s not easy for a person to undo his years of rote learnings of how to be a better human and achieve whatever you are saying. The book is not at all practical.There have been a few other books and articles on this topic by Buddhist Monks and Zen masters which are much better in terms of making you understand the power of now.Also, the points that are mentioned in the book are drawn a lot from the East. Even the Indian and Chinese spirituality guides talk a lot about this topic and explain it in a much better manner.
","Reviewed in India on 17 May 2019","A lot of Repetition and doesn't deal with How and What Ifs",3,"","1"
"R3LHIHNFD9THW0","Sandeep ","
  Excellent book. Amongst the best I have read. Can transform the way you live...for the better. The lucidity and depth with which the book explains concepts is amazing. His key message is that Time and Mind are same. Mind forces us to think of past (with regret) and future (with anxiety). Instead live in the present moment, the NOW moment , to be in bliss and consciousness. This is the nutshell, but he explains many other concepts.I very highly recommend this book to everyone. It’s amongst the best books out there.
","Reviewed in India on 16 December 2019","Excellent book. Amongst the best I have read. Can transform the way you live.",5,"","1"
"RBYT889VLGTEI","Shiwani","
  The pirated copy has been sent by the seller. Poor quality printed book. Not the original one. Misaligned pages. Poor printing quality. On many pages dark ink spots, faded ink in the paragraphs.
","Reviewed in India on 13 August 2019","Poor quality. Pirated copy sent",1,"https://images-na.ssl-images-amazon.com/images/I/71+gLhvlltL.jpg
https://images-na.ssl-images-amazon.com/images/I/712ojpdmcNL.jpg
https://images-na.ssl-images-amazon.com/images/I/71KZ6xRfceL.jpg
https://images-na.ssl-images-amazon.com/images/I/71eQB5RkLmL.jpg
https://images-na.ssl-images-amazon.com/images/I/71qdt2RmHhL.jpg
https://images-na.ssl-images-amazon.com/images/I/71tEDzpbRhL.jpg
https://images-na.ssl-images-amazon.com/images/I/71uOotKjcfL.jpg","1"
"R371XNEFO87DDV","S","
  This one star is for the book printing and overall quality. If you have seen one of those books sold at the traffic lights, you will understand what I mean.The contents and wisdom contained in the book is priceless. Eckhart Tolle is one of the best spiritual teachers out there and brings out all of his wisdom in a rather simple way.The Indian edition doesn't do any justice to the great piece of work.
","Reviewed in India on 6 August 2019","The one star is for the Indian edition - quality of the book and printing.",1,"","1"
"RDL23HH510V3F","Aaditya","
  Only about Physical conditions of the book:Quality : Good and sturdy for a paper.Print : Good but a lot of errors. Such asWords lapping upImproper page alignment.A whole page lost its effect in one occasion.Packing: Good. Sealed.
","Reviewed in India on 25 August 2020","NOW is the time to buy",4,"","1"
"R11GW38TC6BSBH","Mrid","
  The book is fantastic as it narrate the deeper sense of presence. It will give more meaningful visualisation of your past, present and future and explain why Now is more important and past & future are just illusion. However I doubt the authenticity of the book by the seller on amazon as there are fine mis-print at many occasions and I have to complete the sentence on my own. Sometimes one word is above the other which make it difficult to read. I have given 4 star rating for print quality or the authenticity of the book, otherwise Book itself deserves more than 5 stars.
","Reviewed in India on 11 November 2020","Verify the Authenticity of the book first",4,"https://images-na.ssl-images-amazon.com/images/I/51nMgXLurWL.jpg","0"
"RK31P341XX06V","Nivetha Pethuraj","
  It’s life changing. Literally. I came to know about this book while ready Ten to Zen. I can’t ready more than 1 page a day or say sometimes just few lines. Because there is so much of new knowledge and perspectives to think about life.. it got me out of depression and it gives me a boost every day.. and I’m only on page 76
","Reviewed in India on 26 March 2019","Literally changed my life and got my out of depression",5,"","1"
"R3OPBM12VQ7P1I","SHASHANK VANKADARI","
  The concept of spirituality is beautifully explained. But I find Indian literature better for explanation of spirituality but western people simply can't understand it. But the author referred to teachings in Bhagavad-Gita for his explanation and tried to make us understand the real essence of it. It is a must read book to understand spirituality in a simple way.
","Reviewed in India on 10 February 2019","Good explanation",5,"","1"
"R5RNM3RTZD64Q","pooja chalkapure","
  This review is not about the quality of the content  as i have just started it. This review is for the quality of the product where the page quality is so sub-standard, It looks like a pirated copy, print quality adding to the looks.I am sure as i have purchased the book twice, one for a friend in Mumbai and one for myself in a tier 2 city, the tier 2 city copy turned out to look cheap.as Far as the content goes, I am sure It has a wealth of knowledge in it!
","Reviewed in India on 8 April 2018","2 stars for the quality of the COPY!!",2,"","1"
"R1UHVI7LAGGQKJ","Nisha","
  The book i received has misprinting issues😑😑After 3rd chapter there is again 1st chapter12 pages of 4th chapter are misprintedI found it yesterday and now the return period is over so can't even send it back😒😒😒😒😒😒😒This is a must read book but this thing really pisses me off 😕😕
","Reviewed in India on 7 August 2019","Misprinting 😒",2,"","1"
"R1DFB4ET27QBC4","Roopa Madihally","
  It's the best spiritual book I've ever read. Ekchart explains how the jobs works and the essence of the presence moment. The best part is that Ekchart never says in this book that we've to follow certain rules and regulations to attain peace of mind but it's something that's characteristically achieved.Ultimately it really brings one's focus to what's really important and what really matters at this given moment therefore rendering anything else powerless.Must read for everyone who are in search for peace of mind!!
","Reviewed in India on 18 September 2019","Eye Opener",5,"","1"
"R2CFNPUH2IHKA2","R.S.","
  This is way better that watching countless videos on YT. Great book. Fills you up with great knowledge. Now it's time to experience ourselves and yes, continue reading more books or even re-read it.Book is written in QnA form, which i found helpful. I'll recommend reading it if you haven't joined any good course or read any other book. If you are just like me i.e. getting information only via Internet then you should buy this one.
","Reviewed in India on 23 August 2020","I'm blessed to have read it.",5,"","1"
"R3BUIMJJDPDASE","Darshan","
  Spiritual definition according to Echkart Tolle. Much simpler to understand. Those who find Gita difficult to read can definitely go for it.We as human beings do not surrender and that is why we get pain. Actually we have to rise above both pain and pleasure and to do that we need to surrender to the present.
","Reviewed in India on 26 June 2019","Surrender and see the change in you",5,"","1"
"R35C4WN8EF245N","Pavit Walia","
  Genuinely, this is an awesome book. I become the fan of Eckhart Tolle. Found many answers of my life in this book. Get back the dimnished directions because of life turmoils.This book can prepare you for the next journey. If you get stopped because of various reasons of life, you must read it.It is a slow to read book may be one or two page a day as it is not easy to understand in first go. May be second time you may read many pages in once.Every single page is a treasure. Suggested by doctors, and I feel it was a best suggestion ever.
","Reviewed in India on 29 January 2021","Self enlightenment",5,"https://images-na.ssl-images-amazon.com/images/I/B1M+smh7G-S.jpg","0"
"RFSU04L71IFWH","Tejpal G.","
  Spiritual enlightenment seems such a profound eventHe is also a great teacherCan't imagine how one would feel in his divine presenceI think the metaphysical noumenal, kant's thing in itself, shopenhaur's will, transcendence, sadhguru's chitta, alchemy and many others all point to the same conscious, timeless dimension the one touches when one gets enlightenedThe trick i think is to die (in mind and body) without actually dyingWould give anything to experience it some day
","Reviewed in India on 5 May 2018","A living God",5,"","1"
"R6WENYSVIY19Z","Akshay","
  I was looking for the best mindfulness book. But undoubtedly ""Power of Now"" is the best mindfulness book. Eckhart has not mentioned the word mindfulness, because mindfulness is the state of mind without thoughts. Great book. The book greatly describes the meaning of TRUE HAPPINESS.
","Reviewed in India on 8 June 2016","BEST MINDFULNESS BOOK",5,"","1"
"R1WF930RVEBGDX","Kusum Kaushal","
  Eckhart has given a very simple and effective insight into the process of living in present. The whole book is beautifully divided into small sections and signs are added in every section to pause and think about the important paragraphs and understand their real meaning.
","Reviewed in India on 13 September 2014","The whole book is beautifully divided into small sections and signs are added in ...",5,"","11"
"R1LJ95Y9LW6B0M","Aditiraher7","
  This book gives you the essence of all the religions of the world. More importantly, this book shows u the way to use the spiritual knowledge in daily life . after reading this book I realised that spiritualism , religions, Meditation isn't something ardous thing to understand or do but a very simple thing which helps us to live life truly, totally, happily which is the ultimate goal of any religion.
","Reviewed in India on 13 March 2016","read it once!!",5,"","1"
"R1H2F14SOEQ42B","V","
  Book is ok, same message as any of the enlightened masters. Eckhart is a scam I feel though, anyone enlightened does not monetize spirituality, but to the extend he does, sad. I'd rather recommend David godman or maurice frydman or Sam Harris and Richard spira
","Reviewed in India on 7 January 2020","Average, barely.",2,"","1"
"R151R7LG5NHJZN","Tash V","
  The only way to check if you are truly living or not is to find out how present you are. How much presence goes into what you do? and how much of the past and future you rethink on autopilot?
","Reviewed in India on 26 August 2017","All in one cheat sheet for every question.",5,"","1"
"RPKLOYU0Q0AFA","Chandrashekhar V","
  Stop regretting or have ego about the past actions, nor worry, live in a imagining the future.Truth is only NOW, not even a second that went by nor the next second which never comes.
","Reviewed in India on 4 March 2020","To all those who want to live life NOW",5,"","1"
"R3EQ4XBM5TDWEC","ETERNITY","
  Just laying hands on this book, and flipping across pages, I feel such surge of powerful calming energies. So happy to have received it, in very perfect condition and fast delivery.So much love to Eckhart Tolle, he's such a powerful personality. ♥️ Sending love and light to everyone who's reading it.
","Reviewed in India on 18 December 2019","The best book ever",5,"https://images-na.ssl-images-amazon.com/images/I/71k-qezro9L.jpg","1"
"R1E3QZPKLRWAZW","CHANDAN NARANG","
  If I could review this book with two words, I would choose ""Ineffable"" and ""Magical"" something beyond words could offer. This book has soo much to give you only if you surrender to the author with his teachings. The book may seem to be a bit difficult to read in the initial pages but if you intend to just get through this stage, you will see the magic happening inside of you soon. It is the easiest and yet the most happening way of entering the door within. The book has helped to accelerate my spiritual journey with enormous speed and with some completely new perspectives to the world within.
","Reviewed in India on 19 December 2019","Magic inside.",5,"","0"
"R2LE9Z6D4KBMW3","Lalatendu jena","
  This book change my Life...... to see this world in different way.... This book gives me inner peace . This book tells  LIVE THE LIFE IN THE PRESENT MOVEMENT ... THERE IS NO PAST , NO FUTURE all are illusion of our mind and WE ARE NOT OUR MIND(here mind means ur thoughts and ur emotion ).... WE HAVE ONLY ONE OPTION THAT IS PRESENT MOVEMENT ... WE CAN NOT LIVE IN FUTURE AND WE CAN'T  CHANGE ANYTHING IN THE PAST.....
","Reviewed in India on 4 April 2015","This book change my Life..... ...",5,"","1"
"ROJZ82B0VFZKJ","nikhil ","
  This was the third time i ordered it, previously i had ordered it from Flipkart and Paytm coz of low price but both were of poor quality, so for buying books amazon is certainly the best place. The piece i received is original and of very good quality and i wanted the original piece coz i needed this book to be with me for quite a long period of time.
","Reviewed in India on 29 September 2018","Totally satisfied...thanks amazon :)",5,"","1"
"R165JEO9F3JZT6","Ganesh Hegde","
  There is no other book which can explain as much as this book did. The question which arise in mind are already explained.Reading once is not really enough.
","Reviewed in India on 4 December 2018","Nothing can beat this book",5,"","1"
"R1JUJLLN70D5OB","Amazon Customer","
  It’s very similar to Upanishad preaching . Some of the great disciple of Vivekananda followed this by heart and they coined the word as consciousness bliss . The author in this book tries to answer this state taking numerous examples and I think you should first go through the upanishads before dwelling  deep into this book .
","Reviewed in India on 13 December 2017","Good read",4,"","1"
"R1NZFD82XC885U","vijay sharma","
  I can't imagine a well written book than this. Chapter VII is at its best. Salute to the writer. Writer is requested to write only spiritual phrases/quotes from all his published books into one book. How can I meet the writer?
","Reviewed in India on 6 March 2020","Best spiritual book...",5,"","0"
"R3IG1EF08HU2S2","Mohnish V.","
  It's concise. It is perfect. It is the last book you need. Well, i.e. if you're just now waking up. This will really help you. No matter who you are and where you are and in what situation. Written by the Universe through Eckhart's hands. Beautiful.
","Reviewed in India on 23 November 2020","Perfect",5,"","0"
"R353787LFE4LCL","Pooja ","
  This is the best book on spiritual enlightenment. So simply written and yet so immensely powerful. Every sentence, every phrase will make you realise how simple it is to live a conscious life free from negativity, anxiety, the incessant chatter of the mind, and the other ills of this industrial civilization. If I were to chose just one book to keep and read all my life, I would choose this one. This book changed my life!
","Reviewed in India on 30 September 2019","A simple book with a potential to change lives!",5,"","0"
"RMLFYNBR5R9XA","Utkarsha Thombal","
  This is the must read book for anyone who is able to read!! Of u can read just one book in your whole life, let it be this book! This book has an essence of life and freedom from suffering! No self help book can ever compare to this book by Eckhart Tolle. It's spiritual and practical at the same time!
","Reviewed in India on 16 January 2020","Undoubtedly one of the best books I have read!",5,"","1"
"R2EB8T1RF8N72F","Kindle Customer","
  I spent  29 years of my life in day dreaming, mistakenly thinking that I have the ability to dream big, but that was my ignorance, I almost wasted those years dreaming for big things, achieving none and being always depressed of not realising it in reality. This book changed my life pattern and I realized true success and happiness lies in being instead of becoming, it lies in NOW.  I am lucky I have read this book.
","Reviewed in India on 22 January 2019","The real solution to happiness",4,"","1"
"ROOIR32RAA27A","Amazon Customer","
  I must say that no other self -help book has got me as hooked as The Power of Now!! He delicately captures the nuances of the noises in our mind and they are surprisingly precise ( the questions he has raised in the book which be then answers ) are exactly the ones that are going on in my head . Time is the enemy of presence and presence is the essence of Being. Deep respect for Eckhart Tolle ..
","Reviewed in India on 20 October 2020","Admiration and gratitude for this one of a kind book.",5,"","0"
"R35ONQBEDNYX00","Shweta Singh","
  It helps you a lot if you want to stay conscious in daily basis. Tha book overall gives a good lesson fot the people who thinks a lot it will help you to refine your thoughts and help you to change your perspective for other people and yourself as well.
","Reviewed in India on 14 August 2020","Try it you won't regret",5,"","0"
"R3BJ0W2BP7WK7A","Payel M","
  This is the best book for Spiritual Development which I have read so far. It has changed my life for the better. The print of this book is not that good though
","Reviewed in India on 11 February 2020","Book is great but print quality average",4,"","0"
"R1EKN2BD3195PD","Abir Majumder","
  A masterpiece in the field of Spritual teaching, Eakhrat Is always very special to me...The product is delivered in only 2 days, which is fast I must say, in addition to that the delivery was also very smooth and handled perfectly.
","Reviewed in India on 2 October 2020","Delivery Review",5,"https://images-na.ssl-images-amazon.com/images/I/71KT00EU6DL.jpg","0"
"R2G0IS4Z8BY991","Pranav Sinha","
  A great book to read, but after reading 'way of the superior man' whose font and presentation spoils you, I had to struggle a lot to finish this one. But in the end it was worth a read because of the message this book is trying to convey
","Reviewed in India on 27 July 2019","Reshape Your Life",4,"","0"
"R1TQUPEFBDNMFY","Bhargav Upadhyay","
  dedicated for each human being on the planet, whether you consider your self a spiritual person or not but one must know (not only know but realize and live) it. the content given in the best possible way. The best book I have ever come across. Beyond only manifesting things in the physical world or training the sub-conscious to be successful. The best book which intended to realize our true self, being. It is not about make some new mind made labels on your self (The labels which your like but not able to have access to those in present)  but about true realization that I am beyond those mind made labels. Leads towards a true liberation. Awake us to say the fundamental truth that the now is the only instance when we have all the access. And many many other things from root. I am really grateful for sharing this knowledge, Thank you eckhart tolle.
","Reviewed in India on 12 March 2014","Wonder A real wonder!",5,"","1"
"R2E71BF5LP3BU7","Manikanta","
  Believe me.Just stop reading reviews and order it NOW.Note:You should be open minded and accept the author and book completely.
","Reviewed in India on 5 December 2017","IF NOT NOW WHEN??",5,"","1"
"R1912S0N8PSHPW","Harsh Kumar Shrivastava","
  The true essence of the book is the ""Now-the Present"" leads you to know yourself, the supreme realisation.  The process is well explained in the form of questions and answers.  A must read for everyone.
","Reviewed in India on 29 July 2019","Who am I?",5,"","0"
"R27J6XXOMWMCT9","naveen","
  It's the best book for any spiritual person.. it exactly says the underlying truth behind every saints words.. I have read many many books on saints, but it was through this book I can say that I have completely understood what they were trying to say.. it's a new dimension of thinking.The method is easy to practice. Don't miss out on this book
","Reviewed in India on 6 October 2018","The Truth explained",5,"","0"
"RN45HDFF4CZDB","Susheel Pednekar","
  This book brings lot of awareness, more insight about the simple things which we are not aware in day to day life, due to our thoughts flowing in our mind or due to external disturbances.If you want to explore reality of present moment read this book.
","Reviewed in India on 18 June 2016","One of the must read",5,"","1"
"R1KVIWWHADOYOH","Srinath v","
  this book is a must read book for every human being. I came across this book in the year 2004. Since then i have recommended and gifted to many. This is a book which comes closest to describing the state what shri ramana and others have been expressing.
","Reviewed in India on 17 October 2014","must read and experience book!",5,"","1"
"RWZDREXV3YX9U","Atharv Bansal","
  It explains you everything. What is now? What is future?  What is past? It is helpful in every step of your life and for all age groups It guide us to enjoy now and not to worry about  future and past. It helps us to meditate. It tells us what meditation is. Must read.
","Reviewed in India on 18 June 2019","Discover",5,"","1"
"R27VGQ0UN4MXMY","navya k","
  Very good insights about awareness, explained really nicely with questions and answers pattern, have read only 45 pages till now but I'm already a big fan of this book,Instead of Reading multiple books and not cultivate things, Read one book like this and follow it properly and life will change like a boooom
","Reviewed in India on 17 April 2021","Read and follow this for having better life!!",5,"https://images-na.ssl-images-amazon.com/images/I/C1ySjVV02fS.jpg","0"
"R2X6I84T6X0FZ4","NT","
  One of best books which has a potential to change one's life. It's a summary of many books on spirituality. Few of the concepts like the one description of pain-body is unique to this book. Understanding is liberation.
","Reviewed in India on 16 September 2019","Awesome",5,"","0"
"R3RXHA5ZGT9UAF","TheAffidavit","
  I found peacefulness in my life after reading this book. Its been two years and I want to get the same state of mind as before. I am currently reading the book for the second time.
","Reviewed in India on 13 January 2015","Amazing",5,"","1"
"R2NEA17J6ZX16U","Vasisht","
  I received this book almost one and half month ago. I must admit that it’s been really transformative the way I look at everything.Yes. NOW matters..learning to Surrendering.Thanks for this wonderful book @ Eckhort Tolle for putting his experience in a very simple and effective tone of words.
","Reviewed in India on 19 October 2019","Must have as a lifetime guide!",5,"","0"
"R1IWFV9GK03868","Ashish","
  Even 5 star is less rating for this book.Awesome book to understand how we can control our mind from diverting.I have ordered others books of this author.One of my relative suggested this book, thanks to him.
","Reviewed in India on 15 May 2018","Awesome book",5,"","0"
"R15E19NMNQ8CYW","Naveen Phatak","
  Last time when I ordered this book the print was bad. I returned that copy and re-ordered this time I got it from Cloudtail India. This time the book quality is good.
","Reviewed in India on 4 February 2021","Good quality book.",5,"","0"
"R2PU3UB4ATZBZ","Arun","
  A must read for anyone seeking to understand spirituality, coming from one of the most rational points of view about it. Can help understand ones self and mind , as well as it's implications for life as an individual and society beautifully.
","Reviewed in India on 8 July 2017","A must read for anyone seeking to understand themselves",5,"","1"
"R101HQJM5X45LC","Harshvardhan","
  Any word you say will fall short of how the book is. The book is to be felt while being read. The words are lucidly magical; filled with transformative wisdom. If you come across this book, you've got to read it. You can only be grateful that you did.
","Reviewed in India on 6 June 2020","An incredible masterpiece by Master Eckhart.",5,"","0"
"RFMAX6QFEDZQD","Shaifta Shah","
  Got the book..packaging was quite good received in good conditionWell about the content.. itz worth readingI suggest every person to read ds book at least once
","Reviewed in India on 2 June 2019","Happy buying this",5,"","0"
"R3F1R0G9WQXM2Z","Umesh Sharma","
  The Power of Now: A Guide to Spiritual Enlightenment is a book by Eckhart Tolle. The book is intended to be a self-help guide for day-to-day living and stresses the importance of living in the present moment and avoiding thoughts of the past or future.
","Reviewed in India on 12 September 2013","One of the best books in the world.",5,"","1"
"RH5LI8V9P8WDR","Suhail B. Noolkar","
  I have given 4 stars because of the belief that everything can be improved. The book gives a metaphysical and spiritual explanation to our insecurity and anxiety about the past and future. I have also read Dr. Albert Ellis ‘a guide to rational living’. Both supplement each other. One giving spiritual and metaphysical explanation and advice while the other a cognitive one. A must read for people with anxious and unstable personalities.
","Reviewed in India on 7 February 2014","too good for people with fear, anxiety and unstable mind",4,"","1"
"R1G55FZ4MJGPNZ","Amazon Customer","
  Horrible print. Probably some fake printing. (Book as such is great...my all time favourite.)
","Reviewed in India on 7 January 2018","One Star",1,"","1"
